taz,coord-x,coord-y,area
1,410051,4604806,1517572.5
2,408993,4603544,2683068.18
3,410126,4602742,1906071.06
4,408249,4601825,3399362.4
5,409373,4600722,1768477.82
6,410283,4600358,3646220.8600000003
7,411821,4601943,13427481.48
8,411935,4605642,2355272.52
9,412641,4606013,546326.1
10,413394,4603600,4172312.66
11,414376,4600355,4196593.82
12,413129,4598915,3051332.44
13,414524,4598638,849840.6
14,408607,4598032,6907990.0200000005
15,410463,4598152,1663259.46
16,409823,4596661,2424069.14
17,410935,4596548,1125027.08
18,408644,4595521,2100320.34
19,409378,4593363,19206397.560000002
20,411629,4592277,2067945.46
21,409390,4590129,6527585.180000001
22,410960,4588080,6823005.96
23,411885,4585699,376357.98000000004
24,412246,4584236,526091.8
25,411691,4598033,1299042.06
26,411629,4596947,918637.22
27,412397,4597091,619169.5800000001
28,412234,4596259,861981.18
29,412644,4598030,967199.54
30,413551,4597453,546326.1
31,413461,4596950,821512.5800000001
32,413461,4596299,837700.02
33,414372,4597691,408732.86
34,414952,4597663,457295.18
35,414353,4596960,339936.24
36,414934,4596975,437060.88
37,414344,4596277,327795.66000000003
38,414922,4596285,477529.48000000004
39,415761,4598442,1060277.32
40,415471,4597589,226624.16
41,415844,4597575,218530.44
42,415460,4596961,258999.04
43,415850,4596949,258999.04
44,415446,4596407,169968.12
45,415839,4596394,174014.98
46,415430,4595807,291373.92
47,415826,4595797,303514.5
48,416173,4597654,125452.66
49,416266,4596996,307561.36
50,416501,4597109,125452.66
51,416760,4597223,615122.72
52,416350,4596476,250905.32
53,416925,4596274,327795.66000000003
54,416300,4596111,182108.7
55,416171,4595637,141640.1
56,417157,4595651,1760384.1
57,412223,4595505,1007668.14
58,413391,4595551,1003621.28
59,412330,4594692,768903.4
60,413162,4594567,789137.7000000001
61,412499,4593754,934824.66
62,414039,4595398,190202.42
63,414375,4595701,182108.7
64,414901,4595686,311608.22000000003
65,414360,4595282,137593.24
66,414886,4595150,392545.42
67,413883,4594716,356123.68
68,414344,4594726,303514.5
69,414872,4594590,343983.10000000003
70,413777,4593830,1404260.4200000002
